_id,url,title,publihser,doc_id,authors,keywords,abstract
6020baca9a221812ba82b53d,https://www.mendeley.com/catalogue/77851670-194a-3834-8325-ec2e5ec3ba8e,Managing the digital supply chain: The role of smart technologies,Technovation (2020) 96-97,10.1016/j.technovation.2020.102121,"[""Nasiri M"",""Ukko J"",""Saunila M"",""et al.See more""]","[""Collaboration"",""Digital supply chain"",""Digital transformation"",""Relationship performance"",""Smart technologies""]","This study investigates the approach required to achieve competitive advantages in the digital supply chain. Moreover, the study examines how digital transformation of companies can fuel smart technologies, leading to improved relationship performance. The results of the survey given to 280 Finnish small and medium-sized enterprises (SMEs) show that digital transformation of the companies alone cannot enhance relationship performance, and that it needs to be coupled with smart technologies to achieve this goal. This means that smart technologies fully mediate the relationship between digital transformation and relationship performance."
6020baf19a221812ba82b53e,https://www.mendeley.com/catalogue/ee471ccc-46a7-3b91-a715-21bea6f06ab2,Dynamic capabilities and institutional theories for Industry 4.0 and digital supply chain,Supply Chain Forum (2020) 21(3) 139-157,10.1080/16258312.2020.1757369,"[""Gupta S"",""Modgil S"",""Gunasekaran A"",""et al.See more""]","[""Industry 4.0"",""digital supply chain"",""dynamic capability view"",""institutional pressure""]","This study explores the firm’s orientation in adopting Industry 4.0 and digital supply chain. Institutional theory and dynamic capabilities view theory are used to explain the theoretical framework. Further, it is tested, if any institutional pressure moderates the orientation relationship to Industry 4.0 adoption intention and digital supply chain. We collected the data from 256 respondents working in the Indian manufacturing firms to test the theoretical framework. The analysis of data indicates that in terms of institutional pressures, only coercive pressure moderates the relationship of exploration and exploitation orientation to the intentions of adopting Industry 4.0 and digital supply chain. The regulatory bodies and accreditation agencies demand the firms to be part of the digital economy and adopt advance systems to attain the sustainable goals under Industry 4.0 framework and components of digital supply chain. Practicing managers and firms can adopt findings of the study, to follow the adoption of Industry 4.0 in digital supply chain economy."
6020bb179a221812ba82b53f,https://www.mendeley.com/catalogue/794eacdc-0539-322e-8015-54a8db188115,Digital Supply Chain: Literature review and a proposed framework for future research,Computers in Industry (2018) 97 157-177,10.1016/j.compind.2018.02.010,"[""Büyüközkan G"",""Göçer F"",""""]","[""DSC framework"",""Digital Supply Chain (DSC)"",""Literature review"",""Technology enablers""]","Suppliers, partners, companies and dealers in supply chains do use, generate and share information with others. These associations lead to a multitude of challenges and opportunities within the supply chains. A Digital Supply Chain (DSC) is a smart, value-driven, efficient process to generate new forms of revenue and business value for organizations and to leverage new approaches with novel technological and analytical methods DSC is not about whether goods and services are digital or physical, it is about the way how supply chain processes are managed with a wide variety of innovative technologies, e.g. unmanned aerial vehicles, cloud computing, and internet of things, among others. Recent literature highlights the importance of DSC and many industrial researchers discuss its applications. This article reviews the state-of-the-art of existing DSC literature in detail from both academic and industrial points of view. It identifies key limitations and prospects in DSC, summarizes prior research and identifies knowledge gaps by providing advantages, weaknesses and limitations of individual methods The article also aims at providing a development framework as a roadmap for future research and practice."
6020bb3d9a221812ba82b540,https://www.mendeley.com/catalogue/4be64c43-8708-3e56-92eb-1674d3d260d9,Digital supply chain through dynamic inventory and smart contracts,Mathematics (2019) 7(12),10.3390/MATH7121235,"[""de Giovanni P"",""""]","[""Digital supply chain"",""Dynamic inventory"",""Revenue sharing contract"",""Smart contracts""]","This paper develops a digital supply chain game, modeling marketing and operation interactions between members. The main novelty of the paper concerns a comparison between static and dynamic solutions of the supply chain game achieved when moving from traditional to digital platforms. Therefore, this study proposes centralized and decentralized versions of the game, comparing their solutions under static and dynamic settings. Moreover, it investigates the decentralized supply chain by evaluating two smart contracts: Revenue sharing and wholesale price contracts. In both cases, the firms use an artificial intelligence system to determine the optimal contract parameters. Numerical and qualitative analyses are used for comparing configurations (centralized, decentralized), settings (static, dynamic), and contract schemes (revenue sharing contract, wholesale price contract). The findings identify the conditions under which smart revenue sharing mechanisms are worth applying."
6020bb629a221812ba82b541,https://www.mendeley.com/catalogue/5652f74d-17a4-3183-9619-69e06221fd54,A digital supply chain twin for managing the disruption risks and resilience in the era of Industry 4.0,Production Planning and Control (2020),10.1080/09537287.2020.1768450,"[""Ivanov D"",""Dolgui A"",""""]","[""Industry 4.0"",""Supply chain"",""data analytics"",""digital twin"",""disruption risk"",""resilience""]","We theorize a notion of a digital supply chain (SC) twin–a computerized model that represents network states for any given moment in real time. We explore the conditions surrounding the design and implementation of the digital twins when managing disruption risks in SCs. The combination of model-based and data-driven approaches allows uncovering the interrelations of risk data, disruption modeling, and performance assessment. The SC shocks and adaptations amid the COVID-19 pandemic along with post-pandemic recoveries provide indisputable evidences for the urgent needs of digital twins for mapping supply networks and ensuring visibility. The results of this study contribute to the research and practice of SC risk management by enhancing predictive and reactive decisions to utilize the advantages of SC visualization, historical disruption data analysis, and real-time disruption data and ensure end-to-end visibility and business continuity in global companies."
6020bb889a221812ba82b542,https://www.mendeley.com/catalogue/10935b55-1003-3360-8964-c9e96d61b937,Analysis of barriers in implementation of digital transformation of supply chain using interpretive structural modelling approach,Journal of Modelling in Management (2020) 15(1) 297-317,10.1108/JM2-03-2019-0066,"[""Agrawal P"",""Narain R"",""Ullah I"",""""]","[""Barriers"",""Digital skills"",""Digital supply chain (DSC)"",""Innovation"",""Interpretive structural modelling (ISM)"",""Modelling"",""Supply chain management""]","Purpose: Digital supply chain (DSC) is an agile, customer-driven and productive way to develop different forms of returns for companies and to leverage efficient approaches with emerging techniques and data analytics. Though the advantages of digital supply chain management (DSCM) are many, its implementation is quite slow for several reasons. The purpose of this paper is to identify the major barriers which hinder the adoption of DSC and to analyse the interrelationship among them. The barriers of DSC are explored on the basis of existing literature and experts’ opinion. Design/methodology/approach: This paper uses the interpretive structural modelling (ISM) approach to develop a hierarchical structural model which shows the mutual dependence among the barriers of DSC. Cross-impact matrix multiplication applied to classification analysis was performed to represent these barriers graphically on the basis of their driving power and dependence. Findings: The research demonstrates that the barriers “no sense of urgency”, “lack of industry specific guidelines”, “lack of digital skills and talent” and “high implementation and running cost” are the most significant barriers to digital transformation of supply chain. This paper also suggests some managerial implications to overcome the barriers which hinder the implementation of digital transformation of supply chain. Practical implications: This paper assists managers and policymakers to understand the order in which these barriers must be tackled and adopts a roadmap for successful implementation of DSCM and reap its benefits. Originality/value: This is one of the initial research studies which has analysed the barriers of DSC using ISM approach."
6020bbae9a221812ba82b543,https://www.mendeley.com/catalogue/998bc7e9-0672-3fdc-8bee-869c35c8cd00,Industry 4.0 and digital supply chain capabilities: A framework for understanding digitalisation challenges and opportunities,Benchmarking (2019),10.1108/BIJ-12-2018-0435,"[""Queiroz M"",""Pereira S"",""Telles R"",""et al.See more""]","[""Digital capabilities"",""Digital supply network"",""Supply chain digitalization"",""Supply chain disruption""]","Purpose: The Industry 4.0 phenomenon is bringing unprecedented disruptions for all traditional business models and hastening the need for a redesign and digitisation of activities. In this context, the literature concerning the digital supply chain (DSC) and its capabilities are in the early stages. To bridge this gap, the purpose of this paper is to propose a framework for digital supply chain capabilities (DSCCs). Design/methodology/approach: This paper uses a narrative literature approach, based on the main Industry 4.0 elements, supply chain and the emerging literature concerning DSC disruptions, to build an integrative framework to shed light on DSCCs. Findings: The study identifies seven basic capabilities that shape the DSCC framework and six main enabler technologies, derived from 13 propositions. Research limitations/implications: The proposed framework can bring valuable insights for future research development, although it has not been tested yet. Practical implications: Managers, practitioners and all involved in the digitalisation phenomenon can utilise the framework as a starting point for other business digitalisation projects. Originality/value: This study contributes to advancing the DSC literature, providing a well-articulated discussion and a framework regarding the capabilities, as well as 13 propositions that can generate valuable insights for other studies."
6020bbd49a221812ba82b544,https://www.mendeley.com/catalogue/3c76bdee-14bd-3277-9277-6dd9d659648e,Digital supply chain management in the tourism and hospitality industry: Trends and prospects,International Journal of Supply Chain Management (2020) 9(3) 843-849,20507399,"[""Klimova T"",""Bogomazova I"",""Anoprieva E"",""et al.See more""]","[""Concept 4.0."",""Digital economy"",""Hospitality"",""Modern technologies"",""Supply chain management"",""Tourism""]","The article discusses the basics of the digital supply chain management, its characteristic features and scope of application are covered. The analysis of a condition of development of digital supply chain management in the world reflecting growth of its share in gross domestic product, and the Russian Federation for which characteristic is the state initiative of advance and development of digital processes, but not business structures is carried out. The role of the Internet of things within digitalization of supply chain management is considered, in this regard the optimistic and conservative forecast of structure of the market of the Internet of things till 2025 is submitted. In work characteristic of information space of the sphere of tourism is given, the digital services and platforms which were widely adopted and succeeded offices of the tourist companies are described. The offered model of the digital platform for the sphere of tourism and hospitality of the Russian Federation «Tourism 4.0» with the description of the principles, characteristic of it, can be provided as a result of a combination of key technological capabilities, namely artificial intelligence, the Internet of things, robotization, voice technologies, a supply chain management. The presented «digital funnel» reflects the place of the tourism and hospitality industry among the participants in the digitalization market. Results of a research allowed to distinguish the factors constraining and keeping development of modern technologies in the industry, to reveal trends and regularities in the short term."
6020bbfa9a221812ba82b545,https://www.mendeley.com/catalogue/183a4224-753d-33a2-992f-0f09d372ca51,Conceptual approaches to implementing the digital supply chain management in some areas of the Russian economy,International Journal of Supply Chain Management (2020) 9(4) 1074-1080,20507399,"[""Kolesnikov A"",""Chumakova O"",""Syvorotkina S"",""et al.See more""]","[""Digital supply chain management"",""Digital transformations"",""Financial resources"",""Personnel of the digital economy""]","Recently, digital, information and telecommunications resources have become widespread in Russia, and the processes of supply chain in various spheres of society are being actively digitized after the covid-19 spread. As of today, there is a successful experience in the development and subsequent use of various electronic platforms, systems and services, such as SIS of HCS (in the field of housing and communal services), UMIAS (healthcare), Public Services (provision of public services), UIS (procurement), etc. The existence of such software products affects effectively the performance of functions by public authorities, allows optimizing the work, and also provides access to the necessary information. Based on this, we can say that digital technologies cover most areas of the country's life. However, these areas of activity are usually not related to production. This situation is developing not only in Russia, but also in the global economy as a whole. It is easy to implement digital technologies in the service sector. This is largely due to low-cost investments that pay off quickly and make services more affordable. This is not the case with production, where the introduction of digital technologies will require changing the technology or even the organizational mechanism of production functioning. Moreover, it does not depend on which sector of the economy will be affected by the introduction of digital supply chain management (DSCM). The tasks of digital technologies in production should be a significant increase in labor productivity, the use of modern technologies that allow competing in the world market of goods. In addition, digital technologies in the manufacturing sector of the economy are designed to facilitate production management, correct management decisions, and obtaining detailed, necessary information about production processes."
6020bc209a221812ba82b546,https://www.mendeley.com/catalogue/4cf113fa-4ce6-3ef3-8980-6128d2ee8471,Digital supply chain model in Industry 4.0,Journal of Manufacturing Technology Management (2019) 31(5) 887-933,10.1108/JMTM-08-2018-0280,"[""Garay-Rondero C"",""Martinez-Flores J"",""Smith N"",""et al.See more""]","[""Digitization"",""Industry 4.0"",""Supply chain management"",""Supply networks"",""Technological change"",""Value chain""]","Purpose: The purpose of this paper is to present a conceptual model that defines the essential components shaping the new Digital Supply Chains (DSCs) through the implementation and acceleration of Industry 4.0. Design/methodology/approach: The scope of the present work exposes a conceptual approach and review of the key literature from 1989 to 2019, concerning the evolution and transformation of the actors and constructs in logistics and Supply Chain Management (SCM) by means of examining different conceptual models and a state-of-the-art review of Industry 4.0’s concepts and elements, with a focus on digitization in supply chain (SC) processes. A detailed study of the constructs and components of SCM, as defined by their authors, resulted in the development of a referential and systematic model that fuses the inherent concepts and roles of SCM, with the new technological trends directed toward digitization, automation, and the increasing use of information and communication technologies across logistics global value chains. Findings: Having achieved an exploration of the different conceptual frameworks, there is no compelling evidence of the existence of a conceptual SCM that incorporates the basic theoretical constructs and the new roles and elements of Industry 4.0. Therefore, the main components of Industry 4.0 and their impact on DSC Management are described, driving the proposal for a new conceptual model which addresses and accelerates a vision of the future of the interconnectivity between different DSCs, grouped in clusters in order to add value, through new forms of cooperation and digital integration. Originality/value: This research explores the gap in the current SCM models leading into Industry 4.0. The proposed model provides a novel and comprehensive overview of the new concepts and components driving the nascent and current DSCs. This conceptual framework will further aid researchers in the exploration of knowledge regarding the variables and components presented, as well as the verification of the newly revealed roles and constructs to understand the new forms of cooperation and implementation of Industry 4.0 in digitalized SCs."
