publisher,year_published
Technovation,2020
Supply Chain Forum,2020
Computers in Industry,2018
Mathematics,2019
Production Planning and Control,2020
Journal of Modelling in Management,2020
Benchmarking,2019
International Journal of Supply Chain Management,2020
International Journal of Supply Chain Management,2020
Journal of Manufacturing Technology Management,2019
Technological and Economic Development of Economy,2019
Applied Soft Computing Journal,2018
International Journal of Supply Chain Management,2020
International Journal of Supply Chain Management,2020
International Journal of Supply Chain Management,2020
Supply Chain Forum,2020
International Journal of Supply Chain Management,2020
Production Planning and Control,2020
International Journal of Supply Chain Management,2020
International Journal of Information Management,2019
Business Horizons,2019
IARJSET,2017
An International Journal,2019
Deloitte Insights,2016
Supply Chain Management Review,2019
Proceedings of the Hawaii International Conference on System Sciences,2018
Ernst Young,2016
International Journal of Supply Chain Management,2020
WSEAS TRANSACTIONS ON COMPUTER RESEARCH,2020
Logistics Management,2017
Sustainability,2018
International Journal of Engineering and Management Sciences,2020
International Journal of Supply Chain Management,2020
Academy of Management Proceedings,2019
International Journal of Production Economics,2020
International Journal of Information Management,2020
Trends,2016
Sustainability,2020
IEEE Transactions on Engineering Management,2019
Benchmarking,2020
Production Planning and Control,2017
CYFROWE INNOWACJE W ZARZĄDZANIU ŁAŃCUCHEM,2019
Journal of Digital Asset Management,2008
International Journal of Supply Chain Management,2020
Journal of Purchasing and Supply Management,2019
International Journal of Engineering Research in Africa,2019
Business Process Management Journal,2019
Applied Mathematics and Computation,2021
Aroq,2017
Journal of Foot and Ankle Research,2019
The Computer Games Journal,2020
European Journal of Business Science and Technology,2019
the Business Transformation Journal,2015
International Journal of Information Management,2018
International Journal of Supply Chain Management,2019
US Patent,2018
Oeconomia Copernicana,2019
Supply Chain Management Review,2019
International Journal of Systems Operations and Logistics,2019
International Journal of Fashion Technology and Education,2018
Higher Skills and Learning,2020
Tata Consultancy Services,2017
Machines,2018
Bain Co,2018
National Academy Science Letters,2020
Transportation Research Part Logistics and Transportation Review,2019
GT Nexus,2016
Worldwide Hospitality and Tourism Themes,2020
Journal of Business Ethics,2020
Logistics Management,2018
International Journal of Supply Chain Management,2020
International Journal of Supply Chain Management,2019
Electronic Library,2010
The Journal of Business Forecasting,2016
Industrial Engineering and Innovation Management,2019
Material Handling Logistics,2017
Journal of Management Information Systems,2013
GT Nexus,2016
European Journal of Business Science and Technology,2019
SAIEE Africa Research Journal,2016
International Journal of Production Research,2020
International Journal of Management and Sustainability,2020
International Journal of Supply Chain Management,2020
Industry Week,2014
