_id,url,title,publihser,doc_id,authors,keywords,abstract
601acf9594ee9315240b8440,https://www.mendeley.com/catalogue/cb30a1d6-4e59-3ab8-9f6a-05585a27b36e,The rise of blockchain technology in agriculture and food supply chains,Trends in Food Science and Technology,10.1016/j.tifs.2019.07.034,"[""Kamilaris A"",""Fonts A"",""Prenafeta-Boldύ F"",""""]","[""Barriers"",""Benefits"",""Blockchain technology"",""Challenges"",""Digital agriculture"",""Food supply chain""]","Blockchain is an emerging digital technology allowing ubiquitous financial transactions among distributed untrusted parties, without the need of intermediaries such as banks. This article examines the impact of blockchain technology in agriculture and food supply chain, presents existing ongoing projects and initiatives, and discusses overall implications, challenges and potential, with a critical view over the maturity of these projects. Our findings indicate that blockchain is a promising technology towards a transparent supply chain of food, with many ongoing initiatives in various food products and food-related issues, but many barriers and challenges still exist, which hinder its wider popularity among farmers and systems. These challenges involve technical aspects, education, policies and regulatory frameworks."
601acfb494ee9315240b8441,https://www.mendeley.com/catalogue/31947e74-7d21-3d23-9775-c266f848ad1d,Transforming agriculture supply chain with technology adoption-: A critical review of literature,Proceedings of the International Conference on Industrial Engineering and Operations Management (2020) 0(March) 1163-1170,21698767,"[""Karunanayaka C"",""Vidanagamachchi K"",""Wickramarachchi R"",""""]","[""Agriculture supply chain"",""Digital transformation"",""Technology""]","With the increase in the global population, natural disasters and climatic changes the agricultural supply chain faces lots of challenges due to fluctuations of both supply and demand sides. This is adding pressure on the agriculture supply chain demanding it to be more productive and efficient. Adapting to technology to improve the agriculture supply chain have been identified as one solution. As the rest of the world is moving towards digital transformation, agriculture supply chains should follow the suite in order to meet the current challenges they face. This article reviews the literature on technology and technology applications in the agriculture supply chain. This article has identified the technological applications that have been built with respect to agricultural processes. Among them, it has found that, IoT as the technology which was based on many technology applications developed within the past few years. Further, this highlights IoT, Big Data and Blockchain as true enablers for the transformation of the agriculture supply chain to a digital agriculture supply chain."
601acfd994ee9315240b8442,https://www.mendeley.com/catalogue/189518ae-c7f3-3950-b1a9-472e538777eb,Effect of supply chain cultural competence on Thai SMEs performance with mediating role of supply chain technology,International Journal of Supply Chain Management (2020) 9(1) 215-224,20507399,"[""Mekhum W"",""""]","[""Performance"",""SMEs"",""Supply chain cultural capabilities"",""Supply chain technology""]","Performance is a key indicator for the survival of any business. Organizational culture must have strong liaison with the goals of organizations because it has direct association with organizational performance. Therefore, the core objective of this study was to investigate the influence of supply chain cultural capabilities on the performance of Thai SMEs with the mediation role of supply chain technology adoption. To achieve the objective of this study, the data was collected from the managers of SMEs by using survey questioner approach. Smart-PLS was used to test the hypotheses and analysis of data. Findings of contemporary study highlighted that supply chain cultural capabilities have significant positive influence on the performance of SMEs in Thailand. Furthermore, results indicated that supply chain technology adoption could increase the performance of organizations. Results of this research illuminated that Adaptability and consistency in organizational cultural support in the adoption of supply chain technology and supply chain technology boost up the performance of organization. This research offer new empirical indication that supply chain cultural capabilities are significant for the performance of SMEs in developing countries like Thailand. Though, this research used only cultural capabilities, the other important capabilities of supply chain such as supply chain technological capabilities, would be used in future research."
601acff794ee9315240b8443,https://www.mendeley.com/catalogue/e3b6b38f-0608-3cfb-8df6-b5bf94036104,Effect of supply chain technology internalization and e-procurement on supply chain performance,Business Process Management Journal (2019) 26(6) 1425-1442,10.1108/BPMJ-04-2019-0150,"[""Pattanayak D"",""Punyatoya P"",""""]","[""Construction industry"",""E-procurement"",""Supply chain integration"",""Supply chain performance"",""Supply chain technology internalization""]","Purpose: The purpose of this paper is to examine how e-procurement (EP) and supply chain technology internalization (SCTI) influence supply chain performance (SCP) through supply chain integration (SCI). Design/methodology/approach: This research analyzed 214 survey responses from project managers who have prior experience in the field of supply chain management. Structural equation modeling was used to analyze the data. Findings: The results show that EP and SCTI positively influence SCI and SCP. The effects of EP and SCTI on SCP are found to be mediated by SCI in the context for the construction industry. Research limitations/implications: Future studies should focus on quantitative measures of SCP like budget overrun, supply chain efficiency and project success. Further research can be done through the exploration of moderating interactions of the proposed model. Practical implications: First, the study highlights the importance of SCTI. Supply chain managers should first focus on effective utilization of different technologies used to support supply chain. Second, the research gives the guidelines to the supply chain managers and project managers about the benefits of EP. They should focus on proper implementation of EP in their organizations. Originality/value: This paper contributes to the literature by proposing and testing the influences of EP and SCTI on SCI. This allows a strategic viewpoint when implementing SCTI, EP systems and SCI, intended to improve SCP."
601ad01894ee9315240b8444,https://www.mendeley.com/catalogue/f85f3983-fccd-3d8e-b167-86c2dcab1b37,A model to evaluate supply chain technology implementation influence on organizational performance,Transport (2018) 33(3) 779-792,10.3846/transport.2018.5468,"[""Soltany Z"",""Rostamzadeh R"",""Skrickij V"",""""]","[""IT enabled"",""Organizational performance"",""Simultaneous factor analysis"",""Structural equation model"",""Supply chain technology""]","Supply Chain Management (SCM) aims to achieve organizational competitiveness. By including SCM paradigm and Information Technology (IT), companies aim to enhance their responsiveness and flexibility, and by changing their operations’ strategy, they attempt to improve their competitiveness. This study focuses on the organizational variable, IT capabilities, technological structure, and possible antecedents and their impact on Supply Chain Technology (SCT) implementation. This paper proposes a model to examine the way, which SCT implementation affects IT enabled Organizational Performance (OP). The data were achieved through the questionnaires, and then they were analysed by using Smart PLS 3 program. The data collected from 118 employees in IT sector of Iran’s customs administration provide strong support to the proposed research model. The results of this research showed that SCT implementation has a mediating effect on IT enabled OP improvement. Besides, the study revealed that IT capabilities have the most and organizational variable has the least influence on implementation of SCT. Based on other organization’s situations, they can use the suggested model with a little changes."
601ad03794ee9315240b8445,https://www.mendeley.com/catalogue/c5045303-e187-3c49-8a56-c39d8301fd3f,Exploring the role of TQM and supply chain practices for firm supply performance in the presence of information technology capabilities and supply chain technology adoption: A case of textile firms in Pakistan,Uncertain Supply Chain Management (2016) 7(2) 275-288,10.5267/j.uscm.2018.9.001,"[""Basheer M"",""Siam M"",""Awn A"",""et al.See more""]","[""Firm supply performance"",""Information technology capabilities"",""Supply chain management practices"",""Supply chain technology adoption"",""Total quality management practices""]","The primary objective of this paper is to investigate the relationship between total quality management practices (TQMP), supply chain management practices (SCMP), information technology capabilities, supply chain technology adoption and firm supply performance. In addition, the study also tries to investigate the mediating role of information technology capabilities and supply chain technology adoption in the relationship between TQMP, SCMP, and firm supply performance. The study is carried out on a sample of textile firms of Pakistan. To achieve the research objective, Smart PLS-3 is used for the analysis of the data gathered from the textile firms of Pakistan. The results of the study show a great deal of agreement with the hypothesized results. The information technology capabilities, supply chain technology adoption both appear to play mediators between TQMP, SCMP, and firm supply performance. The results of the study will be useful for policymakers and researchers to understand the emerging role of technology in strategic management and operational management."
601ad06494ee9315240b8446,https://www.mendeley.com/catalogue/973c2f5a-0324-37c4-8c1c-3721a2ff1a65,Determinant Factors of Supply Chain Technology Adoption among Sabah Small and Medium Enterprises (SMEs),Malaysian Journal of Business and Economics (2019) 6,false,"[""Faisal S"",""Idris S"",""""]","[""adoption"",""diffusion of innovation"",""supply chain"",""supply chain technology""]","Small and Medium Enterprises (SMEs) are the key industry in Malaysia which they play an important economic and social role and often contributed to innovation to the country. However, the SMEs in Malaysia still face great challenges within their supply chain such as limited technology access, low productivity, and poor managerial capabilities. Sabah SMEs has low production levels and had to slow down the development of products and services. It will continue affecting the overall operation of Sabah SMEs. As Sabah SMEs have the biggest contribution to Sabahâ€™s development and provide many job opportunities, thus, it is needed for this study to identify determinant factors that influence the adoption of supply chain technology within Sabah SMEs such as perceived usefulness, complexity, compatibility and top management support. This study use diffusion of innovation (DoI) theory as underpinning theory to explain the adoption of supply chain technology according to the aspects of innovation attributes and organizational factor. This study employs a quantitative approach through a survey questionnaire distributed purposefully to Sabah SMEs in all sectors (manufacturing, services, and agriculture). The respondentsâ€™ data obtained will be analysed through Statistical Package for Social Sciences (SPSS) for descriptive analysis while statistical data will be analysed through Structural Equation Modelling (SEM) via Partial Least Squares (PLS). The outcome is to examine the relationship between the variables and the extent to which the relationship between the variables was related to each other. Hence, this finding may help the SMEs entrepreneur, researchers, and policy-makers to realize and make a refinement on supply chain technology adoption among Sabah SMEs."
601ad08794ee9315240b8447,https://www.mendeley.com/catalogue/9225d55b-8562-3347-b3b5-21e532dbcf82,Supply chain technology utilization in Malaysia construction industry,Jurnal Teknologi (2015) 77(4) 69-75,10.11113/jt.v77.6044,"[""Udin Z"",""Othman A"",""Ahmad A"",""""]","[""Construction"",""Malaysia"",""Rasch method"",""Supply chain management"",""Supply chain technology""]","Supply Chain Technology (SCT) utilization becomes a phenomenon in the construction industry nowadays. The uses of these technologies have shown an improvement in construction business process particularly in planning and designing processes. These improvements significantly affect the performance of Supply Chain Management (SCM) in construction industry. The construction industry is critical for national wealth creation particularly in the developing countries such Malaysia. However, about five percent of construction projects were not able to be completed due to various reasons. Therefore, there is a great interest to find out the level of utilization of SCT within the construction industry, which is believed as a main driver to improve the SCM performance and directly reflect to the construction project performance. The objective of this paper is to identify and highlight the issues and problems associated with the current SCM practices, particularly in the technology utilization among the major players in the Malaysian construction industry. To be more specifically, the type of application system that is being utilized in the Malaysian construction supply chain process will be identified."
601ad1f96ecc85383fb744a7,https://www.mendeley.com/catalogue/cb30a1d6-4e59-3ab8-9f6a-05585a27b36e,The rise of blockchain technology in agriculture and food supply chains,Trends in Food Science and Technology,10.1016/j.tifs.2019.07.034,"[""Kamilaris A"",""Fonts A"",""Prenafeta-Boldύ F"",""""]","[""Barriers"",""Benefits"",""Blockchain technology"",""Challenges"",""Digital agriculture"",""Food supply chain""]","Blockchain is an emerging digital technology allowing ubiquitous financial transactions among distributed untrusted parties, without the need of intermediaries such as banks. This article examines the impact of blockchain technology in agriculture and food supply chain, presents existing ongoing projects and initiatives, and discusses overall implications, challenges and potential, with a critical view over the maturity of these projects. Our findings indicate that blockchain is a promising technology towards a transparent supply chain of food, with many ongoing initiatives in various food products and food-related issues, but many barriers and challenges still exist, which hinder its wider popularity among farmers and systems. These challenges involve technical aspects, education, policies and regulatory frameworks."
601ad21a6ecc85383fb744a8,https://www.mendeley.com/catalogue/31947e74-7d21-3d23-9775-c266f848ad1d,Transforming agriculture supply chain with technology adoption-: A critical review of literature,Proceedings of the International Conference on Industrial Engineering and Operations Management (2020) 0(March) 1163-1170,21698767,"[""Karunanayaka C"",""Vidanagamachchi K"",""Wickramarachchi R"",""""]","[""Agriculture supply chain"",""Digital transformation"",""Technology""]","With the increase in the global population, natural disasters and climatic changes the agricultural supply chain faces lots of challenges due to fluctuations of both supply and demand sides. This is adding pressure on the agriculture supply chain demanding it to be more productive and efficient. Adapting to technology to improve the agriculture supply chain have been identified as one solution. As the rest of the world is moving towards digital transformation, agriculture supply chains should follow the suite in order to meet the current challenges they face. This article reviews the literature on technology and technology applications in the agriculture supply chain. This article has identified the technological applications that have been built with respect to agricultural processes. Among them, it has found that, IoT as the technology which was based on many technology applications developed within the past few years. Further, this highlights IoT, Big Data and Blockchain as true enablers for the transformation of the agriculture supply chain to a digital agriculture supply chain."
601ad23b6ecc85383fb744a9,https://www.mendeley.com/catalogue/189518ae-c7f3-3950-b1a9-472e538777eb,Effect of supply chain cultural competence on Thai SMEs performance with mediating role of supply chain technology,International Journal of Supply Chain Management (2020) 9(1) 215-224,20507399,"[""Mekhum W"",""""]","[""Performance"",""SMEs"",""Supply chain cultural capabilities"",""Supply chain technology""]","Performance is a key indicator for the survival of any business. Organizational culture must have strong liaison with the goals of organizations because it has direct association with organizational performance. Therefore, the core objective of this study was to investigate the influence of supply chain cultural capabilities on the performance of Thai SMEs with the mediation role of supply chain technology adoption. To achieve the objective of this study, the data was collected from the managers of SMEs by using survey questioner approach. Smart-PLS was used to test the hypotheses and analysis of data. Findings of contemporary study highlighted that supply chain cultural capabilities have significant positive influence on the performance of SMEs in Thailand. Furthermore, results indicated that supply chain technology adoption could increase the performance of organizations. Results of this research illuminated that Adaptability and consistency in organizational cultural support in the adoption of supply chain technology and supply chain technology boost up the performance of organization. This research offer new empirical indication that supply chain cultural capabilities are significant for the performance of SMEs in developing countries like Thailand. Though, this research used only cultural capabilities, the other important capabilities of supply chain such as supply chain technological capabilities, would be used in future research."
